Date,cpi_yoy_zscore,unemployment_delta_zscore,yield_spread_delta_zscore,inferred_regime,spy_equivalent_return,Mkt-RF,SMB,HML,RF,cpi_yoy,unemployment_delta,yield_spread_delta
2005-02-22,-0.170644152514033,0.0024134128073589,-0.7316839907376392,1,-0.014505723363565,-0.0147,-0.0031,-0.0012,0.0001,0.0305302624531333,0.0,-0.1633333333333335
2005-02-23,-0.170644152514033,0.0024134128073589,-0.7316839907376392,0,0.0056073625665278,0.0053,-0.0015,0.0015,0.0001,0.0305302624531333,0.0,-0.1633333333333335
2005-02-24,-0.170644152514033,0.0024134128073589,-0.7316839907376392,1,0.0078937705393953,0.0083,0.0023,-0.0025,0.0001,0.0305302624531333,0.0,-0.1633333333333335
2005-02-25,-0.170644152514033,0.0024134128073589,-0.7316839907376392,0,0.0093068191965897,0.0097,0.0038,0.0034999999999999,0.0001,0.0305302624531333,0.0,-0.1633333333333335
2005-02-28,-0.170644152514033,0.0024134128073589,-0.7316839907376392,1,-0.0064142413652059,-0.0060999999999999,0.0025,0.0005,0.0001,0.0305302624531333,0.0,-0.1633333333333335
2005-03-01,-0.1153095414334917,-0.2712212739762335,-0.399719107879107,0,0.0056580747190815,0.0058,0.001,0.0017,0.0001,0.0320684126135757,-0.0666666666666667,-0.0933333333333335
2005-03-02,-0.1153095414334917,-0.2712212739762335,-0.399719107879107,1,-0.0002726994288539,-0.0001,-0.0017,-0.0002,0.0001,0.0320684126135757,-0.0666666666666667,-0.0933333333333335
2005-03-03,-0.1153095414334917,-0.2712212739762335,-0.399719107879107,0,0.0003223048580269,-0.0001,0.0008,0.0051,0.0001,0.0320684126135757,-0.0666666666666667,-0.0933333333333335
2005-03-04,-0.1153095414334917,-0.2712212739762335,-0.399719107879107,1,0.0096243811874947,0.0089,-0.0007,0.0024,0.0001,0.0320684126135757,-0.0666666666666667,-0.0933333333333335
2005-03-07,-0.1153095414334917,-0.2712212739762335,-0.399719107879107,0,0.00261027025931,0.0027,-0.0038,0.0015,0.0001,0.0320684126135757,-0.0666666666666667,-0.0933333333333335
2005-03-08,-0.1153095414334917,-0.2712212739762335,-0.399719107879107,1,-0.0047987893689216,-0.0054,-0.004,0.0,0.0001,0.0320684126135757,-0.0666666666666667,-0.0933333333333335
2005-03-09,-0.1153095414334917,-0.2712212739762335,-0.399719107879107,0,-0.0101851220638002,-0.0096,0.0006,-0.001,0.0001,0.0320684126135757,-0.0666666666666667,-0.0933333333333335
2005-03-10,-0.1153095414334917,-0.2712212739762335,-0.399719107879107,1,0.0018558174466258,0.0001,-0.0084,-0.0013,0.0001,0.0320684126135757,-0.0666666666666667,-0.0933333333333335
2005-03-11,-0.1153095414334917,-0.2712212739762335,-0.399719107879107,0,-0.0075832490761319,-0.0055,0.0055,0.0040999999999999,0.0001,0.0320684126135757,-0.0666666666666667,-0.0933333333333335
2005-03-14,-0.1153095414334917,-0.2712212739762335,-0.399719107879107,1,0.0056246252309646,0.0060999999999999,-0.0024,0.0017,0.0001,0.0320684126135757,-0.0666666666666667,-0.0933333333333335
2005-03-15,-0.1153095414334917,-0.2712212739762335,-0.399719107879107,0,-0.0075238073177859,-0.0067,0.0017,0.0034,0.0001,0.0320684126135757,-0.0666666666666667,-0.0933333333333335
2005-03-16,-0.1153095414334917,-0.2712212739762335,-0.399719107879107,1,-0.0080818649225109,-0.0084,0.0024,0.0023,0.0001,0.0320684126135757,-0.0666666666666667,-0.0933333333333335
