date,equity_return,Mkt-RF,SMB,HML,RF,growth_yoy,cpi_yoy,unemployment_delta,yield_spread_delta,credit_spread_delta,growth_yoy_zscore,cpi_yoy_zscore,unemployment_delta_zscore,yield_spread_delta_zscore,credit_spread_delta_zscore
2014-06-30,0.019058331749470137,0.026000000000000002,0.0305,-0.0070999999999999995,0.0,0.03365841732090935,0.020589816945944195,-0.20000000000000018,-0.03666666666666677,-0.04666666666666656,0.16975048761577166,-0.5413367556048588,-0.8203542537187478,-0.16817959444315592,-0.4002950161372579
2014-07-31,-0.015079830845342368,-0.0203,-0.0418,-0.0008,0.0,0.03917788807990186,0.019742378703305974,0.0,-0.05666666666666664,0.0,0.27630269709711547,-0.5719239942559377,0.005409628515600735,-0.26189358361644033,-0.0053485728080911185
2014-08-31,0.037655295579825276,0.0424,0.0040999999999999995,-0.005699999999999999,0.0,0.031253041765382905,0.017150983482969062,-0.06666666666666672,-0.04666666666666671,0.023333333333333577,0.12331522393470438,-0.665457210077009,-0.2698449988958488,-0.21503658902979814,0.19212464885649477
2014-09-30,-0.015513837249453988,-0.0196,-0.0359,-0.0147,0.0,0.0289843352202952,0.016840509711232077,-0.06666666666666643,-0.016666666666666757,0.023333333333333428,0.07951832644230672,-0.6766633781175914,-0.2698449988958476,-0.07446560526987084,0.19212464885649352
2014-10-31,0.023201460667203078,0.025099999999999997,0.0405,-0.0163,0.0,0.029919466037849007,0.016095417021513292,-0.16666666666666666,-0.07666666666666681,0.06666666666666672,0.0975708280525592,-0.7035565802070469,-0.6827269400130225,-0.35560757278972616,0.5588606319478632
2014-11-30,0.02453358864631494,0.0256,-0.020499999999999997,-0.0313,0.0,0.0338610667511996,0.01231524989320798,-0.09999999999999994,-0.02666666666666669,0.06333333333333317,0.17366259178126284,-0.839997052535128,-0.40747231260157296,-0.12132259985651303,0.5306501717100637
2014-12-31,-0.004188587515997044,-0.0005,0.0253,0.0212,0.0,0.03170492700276073,0.006531213919623191,-0.10000000000000024,-0.10999999999999988,0.08666666666666674,0.13203877236480743,-1.0487647004756881,-0.40747231260157424,-0.5117975547451998,0.7281233933746495
2015-01-31,-0.031040805838410623,-0.031,-0.0059,-0.0345,0.0,0.027262407410550527,-0.002299309782054282,0.0,-0.1433333333333333,0.05999999999999991,0.04627687618247123,-1.3674915672693617,0.005409628515600735,-0.6679875367006753,0.5024397114722665
2015-02-28,0.0548925108906233,0.0613,0.0060999999999999995,-0.0179,0.0,0.0130473816054415,-0.0008703146293520536,-0.09999999999999994,-0.1166666666666667,0.02333333333333328,-0.22814117466071498,-1.3159137488895063,-0.40747231260157296,-0.5430355511362956,0.19212464885649225
2015-03-31,-0.017396107114219572,-0.0111,0.0305,-0.0038,0.0,-2.7479483621140055e-05,-0.00022031284423873476,-0.06666666666666643,-0.05666666666666664,-0.010000000000000083,-0.48054858807648465,-1.2924527357742697,-0.2698449988958476,-0.26189358361644033,-0.0899799535214849
2015-04-30,0.008520819822535275,0.0059,-0.029900000000000003,0.018000000000000002,0.0,-0.0064445725580629665,-0.0010403098939391064,-0.09999999999999994,0.023333333333333355,-0.009999999999999934,-0.6044292055098154,-1.3220495183956003,-0.40747231260157296,0.11296237307669971,-0.08997995352148364
2015-05-31,0.010491382304589791,0.0137,0.0095,-0.0111,0.0,-0.01460487812501221,0.0003503321824429584,0.033333333333333215,0.0733333333333334,0.05333333333333323,-0.7619621694782784,-1.2718560070240714,0.1430369422213249,0.34724734600991247,0.4460187909966711
